,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
10,Klanik Esport,LFL2,1,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1,0,0,0,1,0,0,1
11,MS Company,LFL2,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
22,beGenius ESC,LFL2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0
23,ViV Esport,LFL2,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1,0,0,0,0,0,1,0
34,Team du Sud,LFL2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1,0,0,0,0,0,1,0
35,Akroma,LFL2,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
46,Atletec,LFL2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1
47,Joblife,LFL2,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1,0,0,0,0,0,1,0
58,Lille Esport,LFL2,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0
59,Project Conquerors,LFL2,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0
70,Reven Esports,DDH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
71,19esports,DDH,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
82,The Kings Moon,DDH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
